종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
8473,2983,0.1,3024,186,46.46,6.0
8508,548,-1.26,549,89,47.64,10.29
8511,2166,0.32,2191,166,41.72,5.02
8515,453,-0.88,475,65,35.54,5.54
8518,174,4.82,176,208,43.75,5.88
8522,6340,15.06,5501,1157,61.61,15.61
8524,972,1.04,969,83,46.17,8.01
8537,2433,0.62,2553,81,38.8,7.99
8541,1640,1.36,1663,208,42.98,6.87
8542,1631,-0.31,1636,178,46.81,11.46
8544,2086,3.01,2041,132,51.95,8.91
8550,909,0.55,911,193,47.97,9.88
8558,1068,0.56,1074,169,44.69,8.33
8562,368,0.27,374,63,43.75,13.25
8563,1025,1.59,1054,187,40.52,7.36
8566,6080,-0.65,6091,185,46.46,4.06
8570,1576,-0.44,1607,139,39.91,3.93
8572,478,-0.23,484,180,41.71,3.95
8584,4165,0.0,4182,133,44.09,3.87
8585,1030,0.0,1053,186,44.91,4.05
8591,4781,0.27,4906,170,37.75,8.29
8593,1447,0.24,1442,145,48.62,4.3
8595,2326,0.65,2367,148,35.56,2.46
8601,1577,0.73,1508,143,55.65,5.89
8604,1255,-0.2,1243,136,51.27,5.84
8609,898,3.58,875,693,53.64,6.72
8613,1065,0.0,1053,179,54.9,5.25
8616,759,0.0,758,319,49.38,4.74
8622,725,-0.68,706,167,51.29,15.22
8624,1507,1.34,1404,91,55.19,14.81
8628,987,0.41,959,139,58.56,4.92
8630,6140,1.07,5917,102,53.78,6.92
8697,1899,0.16,1938,106,31.85,7.09
8698,706,0.43,714,115,40.0,6.48
8699,1241,0.65,1249,70,44.68,4.7
8704,1047,-0.19,1059,356,44.01,6.59
8706,1741,0.35,1778,172,41.87,5.95
8707,3755,0.13,3655,197,55.23,7.86
8708,1492,-1.0,1479,149,54.28,6.9
8713,1957,1.19,1964,184,46.6,6.43
8714,908,1.34,835,118,59.42,8.26
8715,1400,1.23,1302,130,63.22,7.22
8725,4208,1.37,4100,132,53.75,5.88
8739,1939,0.26,1956,196,42.82,18.54
8750,1447,0.66,1463,142,38.92,7.26
8766,7511,-1.0,6345,53,71.01,17.07
8771,1661,0.97,1719,245,33.59,5.12
8772,874,-0.57,900,143,29.25,4.77
8793,4165,0.0,4152,231,48.8,4.69
8795,4017,1.85,3857,124,52.88,6.48
8801,1701,-1.85,1883,173,23.91,8.66
8802,4413,-2.54,4792,171,35.2,10.52
8803,2422,0.37,2451,157,38.97,6.01
8804,3709,-1.64,3931,124,33.39,6.29
8818,1950,0.05,1966,148,47.08,5.41
8830,4481,-2.31,4837,172,31.91,9.09
8835,1102,8.89,916,586,78.32,26.58
8841,834,-0.83,857,438,40.93,5.7
8844,1174,0.6,1179,137,46.28,11.88
8848,666,-0.75,682,164,35.85,4.3
8850,4910,-0.51,4992,148,42.65,4.23
8860,830,-0.36,853,187,36.73,5.12
8864,1002,0.7,992,103,49.54,4.09
8869,1022,0.2,1062,279,32.99,4.32
8871,3380,0.75,3310,193,57.69,5.08
8876,1967,-0.3,1930,85,55.42,3.36
8877,6360,-0.16,6689,144,33.15,5.08
8881,748,-0.53,767,162,36.99,4.85
8892,1138,0.09,1117,196,61.97,3.16
8897,410,-0.24,410,259,46.77,4.79
8904,841,0.0,842,71,46.88,2.36
8908,845,-0.24,858,74,34.07,5.4
8917,1174,0.43,1194,315,38.03,4.91
8918,10,11.11,9,91,55.56,25.0
8919,3325,0.61,3266,119,52.73,5.02
8920,875,0.0,888,87,41.57,19.84
8923,1561,0.45,1587,105,41.27,7.05
8928,2596,-2.11,2716,133,38.58,9.3
8934,2701,1.12,2713,145,40.88,8.17
8935,1637,0.12,1743,183,32.12,18.76
8999,591,-0.67,611,264,32.14,3.45
9001,2901,-0.45,2942,208,42.17,5.31
9003,2977,1.59,2848,160,69.12,3.87
9005,1888,0.24,1896,146,46.48,5.2
9006,1560,0.03,1513,185,66.39,3.05
9007,1664,0.39,1675,206,49.65,3.45
9008,789,0.2,791,236,47.12,3.2
9009,1233,-0.16,1260,121,33.86,8.61
9010,2500,0.28,2419,171,58.86,4.68
9020,3671,0.66,3719,182,46.95,3.06
9021,3221,0.59,3246,173,48.44,6.38
9022,4221,-0.28,4339,146,44.7,8.46
9024,4380,3.33,4301,217,57.82,7.01
9025,2987,-0.6,3118,178,32.31,3.6
9031,3129,-0.32,3062,206,54.2,7.74
9037,1810,0.22,1826,164,44.39,3.7
9039,2799,0.47,2771,157,53.15,2.38
